REGION,PLACE ID,PLACE NAME,CATEGORY,PROVINCE,CITY,SURVEYOR,LINK GMAPS
JAWA,TRP-013,Kawah Ijen,Nature,Jawa Timur,Banyuwangi,Surveyor D,"https://www.google.com/maps/place/Kawah+Ijen/@-8.058113,114.2422499,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!8m2!3d-8.0581294!4d114.2421608!16s%2Fg%2F11f0sample"
JAWA,TRP-014,Air Terjun Tumpak Sewu,Waterfall,Jawa Timur,Lumajang,Surveyor D,"https://www.google.com/maps/place/Air+Terjun+Tumpak+Sewu/@-8.2308293,112.9201804,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!8m2!3d-8.2308457!4d112.9200913!16s%2Fg%2F11f0sample"
BALI,TRP-015,Pantai Kuta,Beach,Bali,Badung,Surveyor E,"https://www.google.com/maps/place/Pantai+Kuta/@-8.7180072,115.1687685,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!8m2!3d-8.7180236!4d115.1686794!16s%2Fg%2F11f0sample"
BALI,TRP-016,Pura Tanah Lot,Temple,Bali,Tabanan,Surveyor E,"https://www.google.com/maps/place/Pura+Tanah+Lot/@-8.6211894,115.0869232,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!8m2!3d-8.6212058!4d115.0868341!16s%2Fg%2F11f0sample"
BALI,TRP-017,Pura Luhur Uluwatu,Temple,Bali,Badung,Surveyor E,"https://www.google.com/maps/place/Pura+Luhur+Uluwatu/@-8.8291263,115.0849953,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!8m2!3d-8.8291427!4d115.0849062!16s%2Fg%2F11f0sample"
BALI,TRP-018,Sacred Monkey Forest Ubud,Nature,Bali,Gianyar,Surveyor E,"https://www.google.com/maps/place/Sacred+Monkey+Forest+Ubud/@-8.5188145,115.2586067,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!8m2!3d-8.5188309!4d115.2585176!16s%2Fg%2F11f0sample"
BALI,TRP-019,Kelingking Beach,Beach,Bali,Klungkung,Surveyor E,"https://www.google.com/maps/place/Kelingking+Beach/@-8.7513478,115.4716174,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!8m2!3d-8.7513642!4d115.4715283!16s%2Fg%2F11f0sample"
NUSRA,TRP-020,Gili Trawangan,Island,Nusa Tenggara Barat,Lombok Utara,Surveyor F,"https://www.google.com/maps/place/Gili+Trawangan/@-8.3500653,116.040135,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!8m2!3d-8.3500817!4d116.0400459!16s%2Fg%2F11f0sample"
NUSRA,TRP-021,Pulau Padar,Island,Nusa Tenggara Timur,Manggarai Barat,Surveyor F,"https://www.google.com/maps/place/Pulau+Padar/@-8.653911,119.5801529,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!8m2!3d-8.6539274!4d119.5800638!16s%2Fg%2F11f0sample"
NUSRA,TRP-022,Danau Kelimutu,Nature,Nusa Tenggara Timur,Ende,Surveyor F,"https://www.google.com/maps/place/Danau+Kelimutu/@-8.7666971,121.8168383,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!8m2!3d-8.7667135!4d121.8167492!16s%2Fg%2F11f0sample"
SUMATERA,TRP-023,Danau Toba Parapat,Lake,Sumatera Utara,Simalungun,Surveyor G,"https://www.google.com/maps/place/Danau+Toba+Parapat/@-2.6845567,98.9351155,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!8m2!3d-2.6845731!4d98.9350264!16s%2Fg%2F11f0sample"
SUMATERA,TRP-024,Istana Maimun,Heritage,Sumatera Utara,Medan,Surveyor G,"https://www.google.com/maps/place/Istana+Maimun/@3.5752572,98.683805,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!8m2!3d3.5752408!4d98.6837159!16s%2Fg%2F11f0sample"
SUMATERA,TRP-025,Jam Gadang,Landmark,Sumatera Barat,Bukittinggi,Surveyor G,"https://www.google.com/maps/place/Jam+Gadang/@-0.3050518,100.3693265,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!8m2!3d-0.3050682!4d100.3692374!16s%2Fg%2F11f0sample"
SUMATERA,TRP-026,Masjid Raya Baiturrahman,Heritage,Aceh,Banda Aceh,Surveyor G,"https://www.google.com/maps/place/Masjid+Raya+Baiturrahman/@5.5544383,95.3176697,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!8m2!3d5.5544219!4d95.3175806!16s%2Fg%2F11f0sample"
SUMATERA,TRP-027,Pantai Tanjung Tinggi,Beach,Kepulauan Bangka Belitung,Belitung,Surveyor H,"https://www.google.com/maps/place/Pantai+Tanjung+Tinggi/@-2.5500201,107.6401609,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!8m2!3d-2.5500365!4d107.6400718!16s%2Fg%2F11f0sample"
SULAWESI,TRP-028,Pantai Losari,Beach,Sulawesi Selatan,Makassar,Surveyor H,"https://www.google.com/maps/place/Pantai+Losari/@-5.1440428,119.4091138,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!8m2!3d-5.1440592!4d119.4090247!16s%2Fg%2F11f0sample"
SULAWESI,TRP-029,Taman Nasional Bunaken,Marine,Sulawesi Utara,Manado,Surveyor H,"https://www.google.com/maps/place/Taman+Nasional+Bunaken/@1.6200647,124.7601806,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!8m2!3d1.6200483!4d124.7600915!16s%2Fg%2F11f0sample"
PAPUA,TRP-030,Piaynemo Raja Ampat,Island,Papua Barat Daya,Raja Ampat,Surveyor H,"https://www.google.com/maps/place/Piaynemo+Raja+Ampat/@-0.5682962,130.2718395,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!8m2!3d-0.5683126!4d130.2717504!16s%2Fg%2F11f0sample"
JAWA,TRP-031,Pantai Parangtritis,Beach,DI Yogyakarta,Bantul,Surveyor B,"https://www.google.com/maps/@-8.0255,110.3300,15z"
SUMATERA,TRP-032,Taman Nasional Way Kambas,Nature,Lampung,Lampung Timur,Surveyor G,"https://www.google.com/maps?q=-4.9300,105.7500"
JAWA,TRP-033,Benteng Vredeburg,Heritage,DI Yogyakarta,Yogyakarta,Surveyor A,"  https://www.google.com/maps/place/Benteng+Vredeburg/@-7.8000,110.3660,17z/data=!4m6!3m5!1s0x0:0x0!8m2!3d-7.8001234!4d110.3661234  "
NUSRA,TRP-034,Pantai Pink Lombok,Beach,Nusa Tenggara Barat,Lombok Timur,Surveyor F,"https://www.google.com/maps/place/Pantai+Pink/@-8.8800,116.5500,17z/data=!4m6!3m5!1s0x0:0x0!8m2!3d-8.8801111!4d116.5502222?g_st=iw"
SUMATERA,TRP-035,Pulau Weh Sabang,Island,Aceh,Sabang,Surveyor G,
JAWA,TRP-036,Green Canyon Pangandaran,Nature,Jawa Barat,Pangandaran,Surveyor C,belum ada link
